tweet,class
You're going to find a woman and tease her to make her have to cum silently at work?,Bullying
omg srsy?? I loved ami  kat would always piss me off. She was always mad for no reason.,Bullying
no one likes every fat snack u do bitch! so shaddup ahahahahaha,Bullying
p.s. i hate you :),Bullying
Damn what the hell is the deal with the Drama Queens coming out of the woodwork lately?,Bullying
hahahahahahjdshgskdg I hate you. So much.,Bullying
fuck you dom,Bullying
damn you overload issues! :(,Bullying
I just wanted a fucking money order and it took 40 minutes to get it. They won't even look at you if you're on your mobile phone.,Bullying
oh youuuu little bitch. Just keep your winter gloves away from your zipper and i'm sure you'll be fine.,Bullying
gay + high on crack + Razor sharp vagina? sounds like @andymn to me,Bullying
bitch you wish.,Bullying
go cowboys!!!! Yup I said it. Two tears in a bucket.. Fuck it lol,Bullying
"""",Bullying
I hate you .. why can't I go to Vegas ?,Bullying
Damn. Didn't see that one coming. I must be getting old. &lt;3 U 2  btw.,Bullying
I don't believe in a lot of specialty kitchen gadgets  but I cling to my potato ricer and my popover pan. Carb freak? :),Bullying
just to clarify-  not really to the cunt punting... but really to the you being welcome to come over anytime!,Bullying
mate u know there are french umbracians out there cg09 u may get ur ass whupped :-},Bullying
don't get all emo about that ;),Bullying
Ech! LOL....if it was me  I would wash the sweats at least twice...then again I hate bugs!,Bullying
I don't wanna sound gay or nuthin'  but that sir... is an arousing pic.,Bullying
wow! You're a real cunt!,Bullying
No- shopping isn't what sucks! It's the crowds that cause the trouble. haha! Love your website btw!!,Bullying
fuck em then! heh,Bullying
congrats on the Entrepreneur.com plug for Your Pitch Sucks http://bit.ly/pS0M !,Bullying
Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,Bullying
you fart like a fucking bass drum lol,Bullying
I'm late to the emo-ball.. I'm not even dressed.  WHY un-follow you?  What did you do now (pft- can't take him anywhere...),Bullying
duh! fat fish and winning the lottery go hand in hand,Bullying
i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,Bullying
that's ri god damn dick ulouse! Tasty though. Haha,Bullying
 Sleepin around is for whores. LOL,Bullying
@EightysBaby man..... fuck the lakers,Bullying
holy jebus yes. that'll do just fine. fuck I love twitter. free chicken!,Bullying
Maybe  I would have to stare at your face for awhile while I do it  that would be gay..and weird...and creepy...sort of,Bullying
what a fucking bitch.,Bullying
I fucking hate Rachel Ray.,Bullying
YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,Bullying
fuck that!,Bullying
lol just rhyming  gay i know,Bullying
dude  that kind of sucks.,Bullying
well damn we should have had a tweet up. I was at Kona last night as well.,Bullying
work on this glorous sat. with this crazy ass shoppers,Bullying
hippies hate that stuff... too chemical-y. This is true when used in ENORMOUS amounts.,Bullying
 That's a very interesting point and one I hadn't heard before. Copper for elec motors? Damn  I love twitter.,Bullying
point taken. fuck.,Bullying
Damn  you've had more jobs than  um  er  well  you're just always employed! lol,Bullying
I know... I would like to find out if I am right... wow... I need to shut the fuck up...,Bullying
that sucks *hugs* :(,Bullying
re:fuck the creative industries blog post (at squares of wheat):I say:Waaaay too much empty rhetoric there. Be the Change ?,Bullying
you should probably reattach your fucking ass for you have laughed it off.,Bullying
goddamn it kj...fuck you 49 times http://tinyurl.com/5mq4sq,Bullying
I hate to keep sending this link.. but you never got back at me.... Whats good.. http://tinyurl.com/6xmnyr,Bullying
ahahahaha so right. Im fucking freezing my ass off here.,Bullying
don't worry  karma is a one mean ass bitch. They'll get what's coming to them...,Bullying
sucks for you,Bullying
 pig 100% pig,Bullying
fuck yeah bra,Bullying
Oh it's pretty much public knowledge that I hate shaving my legs. Or at least it is now.,Bullying
can u be a lamb & add a *gay* category to ur awards so I can nominate myself & others,Bullying
wristband is shipping can they put those assclowns in the mail next to be delivered to an ass whoopin?,Bullying
yeah fuck it kill um all!,Bullying
goddamn it kj...fuck you 58 times http://tinyurl.com/59blcl,Bullying
damn that sucks,Bullying
damn right it should be  horrible stuff YUK!,Bullying
UR a Chicken Cyber Punk! When a French Man came to kick your Ass  U put your Hands in your pockets and Cry like a Pussy! LMAO,Bullying
I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,Bullying
Bitch!  You weren't following me!,Bullying
. . . HE'S FUCKING HIMSELF!,Bullying
I'm counting down the milliseconds til you OPEN THE DAMN BOX.  if I have the patience of a saint  you have the willpower of a GOD.,Bullying
damn man kn frnd e,Bullying
I was gonna dedicate my 850th tweet to you but then I was all FUCK  I already tweeted! But it was to you anyway so it's cool :D,Non Bullying
today its warm though  crazy ass Cali weather,Non Bullying
  Fear. Only because of the corruptness of it all.,Non Bullying
 wee.. we are in the same field =) so you mean you haven&;t start college yet?,Non Bullying
think the phrase 'couldn't hit a pig's arse with a banjo' fitted somehow. But hey I've had a go ( can scythe instead mind!),Non Bullying
That sucks  ya Ive been waiting on this book from Amazon  was suppose tpo have it in Aug. then Dec. 10th now in Jan...irritating,Non Bullying
 I can&;t find you on facebook I was lookin&; for you &amp; a Tosha Good came out O___O,Non Bullying
  Who are you? :-),Non Bullying
Just you wait  bitch!  You'll see.  There will be DOZENS and put together they'll ALMOST match ONE of yours time-wise!,Non Bullying
  It's only life..by Kate Voelege,Non Bullying
damn for real? That's news to me. I'm 100% sure that's a tape loop tho. Zig  Idris  Earl... N.O. Drummers&gt;everyone else,Non Bullying
Can you believe we had another suburb wide Blackout - damn Christmas Lights!   Johnny Walker Blue Label by Candle light,Non Bullying
I just entered Ms. Single Mama&#8217;s Kick Ass Christmas Contest  you can too http://tinyurl.com/7f2h7g,Non Bullying
 what is the thing that annoyes you most???,Non Bullying
theres places to eat at LA Live tho. I need to fuck with over there..,Non Bullying
the answer would be whatever night I make her drink with me and @themadhat doesn't feel sorry for and rescue her ass ;-),Non Bullying
fuck continental!!! Though the prop plane was actually nice!!!,Non Bullying
LOL I'm sorry sir that sucks. It's always something. :/,Non Bullying
I hate when you get stuck out in the cold wearing cons.,Non Bullying
 Are you more of a talker or more of a listener?,Non Bullying
 what others do you have?,Non Bullying
  Its a chicken finger :],Non Bullying
LOL u remains me of my friend she loves football LOL I personally hate it lmao,Non Bullying
 what&;s up? how&;s timmy and you? haha,Non Bullying
naah no fail whale here  Twitter was just being merciful to the rest of us ;) #mcl2,Non Bullying
Hey buddy  you've been kicking ass and taking names.  Keep up the good work.,Non Bullying
Full confidence in your ability to kick ass in the new work... *raises a glass in spirit*,Non Bullying
 HAHA jk i love you tabi(: (i tried to scare you) hahahhaa.,Non Bullying
 Hey  it&;s your cousin again :] When are you coming to visit us? I&;m gonna make a formspring :],Non Bullying
i kept thinking u would be here at like 5 :( damn sorry dude. well man be careful and ill def try to see ya around new years.,Non Bullying
 Quit trying to make everyone feel sorry for you,Non Bullying
 If I could __________ then I would.,Non Bullying
  LOVE ?,Non Bullying
loooove that game! Haha  I used to be such a Nintendo nerd!,Non Bullying
Oh  lol. Yeah  he would. That would be hilarious. Him getting charged for assault  but doing none of the ass-whooping.,Non Bullying
The winner eats the blintz  and the loser(s) watch the winner eat the blintz. Marquess of Queensbury rules apply. En garde!,Non Bullying
"I just used ""my blubbery ass"" in a blog post. Surely you can use ""ballsy""....  ;)",Non Bullying
billy mitchell is like the chuck norris of video games... but i still hate his guts! (oops! ok  i love chocolate chip ice cream.),Non Bullying
"Welcome to the fag brigade! Sorry  sorry  I meant to say ""Welcome to Twitter!"" Is lumieru on LJ. :3",Non Bullying
 Wait my phone?  -dakota,Non Bullying
  NO NO!!!!!!!!!!!,Non Bullying
All I can say is........MEGAN FOX CAN KNOCK ME UP!!! GAD DAMN!!!,Non Bullying
  nope,Non Bullying
 Do you know what boricua/moricua/morena mean?:,Non Bullying
He couldn't give his boy a pair of shades or something? Damn.,Non Bullying
That was meant to look more lighthearted than it did  btw. Add lol or :) to it. I hate that my type always looks so bitchy,Non Bullying
  haha ummm  6th grade. like the middle of the year but i only wore them sometimes cuz i only had one pair. now its all i wear since 7th,Non Bullying
it'll be GREAT for them  I know. Just sucks to have to miss them and worry about them for that long.,Non Bullying
 How many lies do you think you have told in your life time?,Non Bullying
Make Jon do his own damn homework... or you should at least get an honorary degree when he graduates...LMMFAO,Non Bullying
COME ON NOW I KNOW YOU EXPENSIVE BUT DAMN LOL AIGHT LOL,Non Bullying
 ohh reallu? well how does it feel to want [; ?!,Non Bullying
  :),Non Bullying
 so where are you located and what is it like there? :),Non Bullying
 You are on a flight from Honolulu to Chicago non-stop. There is a fire in the back of the plane. You get enough time to make ONE phone call. Who would you call?,Non Bullying
take yo ass to bed....lol!,Non Bullying
 Do you wear mental chains?,Non Bullying
 anythanqq,Non Bullying
 When was the last time you asked someone a letter on paper?,Non Bullying
the b/f sounds like a winner to me!! Lol just messin but damn thats a crappy situation to be in :(,Non Bullying
 That is like the Buffalo calling the Rhino Fat!!!,Non Bullying
 What&;s your favorite kind of flower,Non Bullying
Freestyle Fighting to start their trial 30 days. It is cold as FUCK outside.,Non Bullying
Hate Wall-E? Your girlfriend has no soul. EAT HER.,Non Bullying
 one person who have touched your heart the most,Non Bullying
yeah  I hope he doesn't freak out about us hating it. And is there an online list?,Non Bullying
  Colgate i think. its the minty kind :P,Non Bullying
 entertaiin mhee,Non Bullying
  iDnt be on da cumputa lyke dat,Non Bullying
 Is love necessary in life?,Non Bullying
I'm not sure I could work in politics. I hate the dress code.,Non Bullying
 What do you think about people who give one word answers to nearly everything?,Non Bullying
LOL damn.. for some underwear.. thats dedication,Non Bullying
@joeschmitt Hey  thanks~ I missed you too! I didn't get ANY cock* in my face for New Year's.  (*fvrd),Non Bullying
I have learned that I have to slow way down which I hate to do but if I want to continue with what I'm doing  I have to do it,Non Bullying
they have a clear ass copy of this movie @ G's babershop yo,Non Bullying
  yupz iParty all nite nd day,Non Bullying
  Karma YES. Destiny NO.,Non Bullying
Gearhound would be PC  my wife calls me a gear whore;) Icelantic is a new company out of Boulder  Co.,Non Bullying
 What&;s your favorite place to be kissed?:,Non Bullying
 What to snack on at the movie theatres?,Non Bullying
 $3xy,Non Bullying
  Its so long to explain. lol I have weird dreams that totally blow me away when i wake up. thats all ill leave it at. haha my mind is very creative sometimes . it suprises even me lol,Non Bullying
  Hairballs  I hate those things...,Non Bullying
  hahahahahhaha ikr. :) but D: im not even talking to him hahahahahaahahahaha,Non Bullying
 Wow... someone wants to smell your FEET???,Non Bullying
Hey  73% growth in eBooks.  They could have been sitting FAT if they'd raise their bets there!,Non Bullying
 what did you have for lunch?,Non Bullying
  Idk cause it has a great beat. Jim cracks corn and i dont care  jimmy cracks corn and i dont care... hahaha,Non Bullying
 Are you a tease? I am haha :),Non Bullying
btw i saw your gift last night. You are going to freak out.,Non Bullying
  yep,Non Bullying
  Spontaeity. hahaha even though i wish i could say stability.,Non Bullying
  christofer drew  or my sister,Non Bullying
I'm so sorry  I used to hate transcribing lame interviews...,Non Bullying
  Laptop Dogs Family Shoes bed clothes coffee maker oven washer&amp;dryer refridgerator table&amp;chairs pics camera bath tub! HAHAhAHAHAHHAHA!!!!,Non Bullying
 Do you ever think you smile too little?,Non Bullying
thnxs that's what I will d today. wrap up the end and plan new move. damn that feels better.,Non Bullying
506 was damn funny. Although if it's a redirection it should be in the 300s.  :P,Non Bullying
do you keep getting the one with the wheel that stick? I hate that:),Non Bullying
 What are the last 4 digits in your cellphone number?,Non Bullying
 If you could ask God any one question  what would it be?,Non Bullying
move over give me some of that hate monday,Non Bullying
Y'know  @QueenofSpain doesn't hate me  so I don't think she hates the east coast...just certain east coasters. AHEM. ;),Non Bullying
  Hmmm.. its a tie. I loved all the Bailey School Kids Series and Dr. Suess books. But the BFG. All time favorite childhood book.,Non Bullying
 just so you know scarlett wasnt on when that was wrote.,Non Bullying
the 8-core whore? How does that work? I mean  if there are 8 cores  do you need 8 sticks of ram  or what do you need?,Non Bullying
 how old are you?,Non Bullying
 When the kids in those commercials scream at their parents...I get so upset.  Saying shut up and I hate you....terrible.,Non Bullying
nothing against Guy  mind you -- love him. but why do you hate democracy?,Non Bullying
or it decides to fight back and the wires stab u in the armpit? Hate that.,Non Bullying
I worked with NPH last year and will continue to whore out this picture: http://flickr.com/photos/girlposse/2246322815,Non Bullying
 What&;s something unique about Ohio? :),Non Bullying
  ohkay iWill,Non Bullying
 Do you/have  you ever watched Desperate Housewives?,Non Bullying
good luck gettin her ass to pay up! lol,Non Bullying
Fucking useless ... Sling the Disability Discrimination Act at em !!!bloody terrible !!,Non Bullying
No need to be scared. Just don't piss me off in traffic. That's all:),Non Bullying
 what dont you like about yourself? (and everyone hates something about themselves),Non Bullying
damn cool. u can activate da camera of ur fon n u can move ur fon freely 2 look around da game when u r walking or sneaking,Non Bullying
  lol no,Non Bullying
 have you ever been turnt up?,Non Bullying
the only thing i hate more than the man is a raging UTI.,Non Bullying
  nothing really,Non Bullying
  yes and it got all swollen and red and blahhh lol,Non Bullying
Toldja. Actually  the whole thing gets less emo at some point in the archives. And I feel like it's getting even better.,Non Bullying
thats all that calls house phones these days :) damn telemarketers,Non Bullying
That sucks. I wish you strength.,Non Bullying
 Do you get annoyed when someone cuts in front of you when you are waiting in line?,Non Bullying
I'm the same way! I think it's cuz they're all so damn nice when I wouldve otherwise assumed they were super bitches,Non Bullying
nothing says you love him more than wooly ass sweaters and gift certificates for beer!,Non Bullying
the regular size I hate the minis I always burn them,Non Bullying
  September 22nd<3,Non Bullying
it still sucks  no matter how much  though  eh?,Non Bullying
  did we have any classes together this year?,Non Bullying
OMG. Get him  honey! Flying Taintchoke his ass. Can't he read the fucking Shakesperean tragedy that is our server troubles?,Non Bullying
  we dont currently have a dining room rightnow haha,Non Bullying
  Success.,Non Bullying
  u would call me coz i said so and im extremely bored mwhahahaa  im guessing angel but i met more ppl on that day so it could be anyone....,Non Bullying
 What was the best job you&;ve ever had?,Non Bullying
  i'd say honesty,Non Bullying
  maybe,Non Bullying
 guesss who ;),Non Bullying
  no. i suck.,Non Bullying
I have family flying in soon. Also I don't fly O'Hare in winter. My new rule. HATE. He's at a nice hotel though. :/,Non Bullying
 what do you cook best?,Non Bullying
 Are you picky about spelling and grammar?,Non Bullying
i hate when people bike anywhere apart from the sidewalk. i would run you over in an instant!,Non Bullying
 What&;s your favourite part to watch in Rent?,Non Bullying
Yeah I enjoyed the old set too  but low prices  nerd lust  and a good offer for my old tv via craigslist and here we are.,Non Bullying
IMA ROUNDHOUSE KICK U IN UR FISCAL POLICY IF U FUCK WITH MY ABILITY TO PRINT TEH MONEEZ  MOFO!,Non Bullying
  just me.,Non Bullying
$1 per account = pulled from ass  just like his whole ehealthtrust model,Non Bullying
  Glee who? ha,Non Bullying
ouch...that sucks!  I hope you're feeling better real soon!,Non Bullying
  toilet paper.,Non Bullying
No didn't hear about Palin's church. I actually turned news off 4awhile lol It's bad thing but when spreading hate it returns,Non Bullying
I'd hate to see you become a Twitter Widow.,Non Bullying
Isn't the blanket recall happening because all Irish pig farmers use the same tainted pig food products?,Non Bullying
 Have you ever spent an entire day in bed without being sick?,Non Bullying
  Yes. With my sister. haha we went night swimming in our pool in our backyard. Just so we could answer this question. ;],Non Bullying
that rly sucks gabe. drink a lot of warm tea! it helps me when i have a sore throat but then again urs is much more srs. :(,Non Bullying
Good night  sugar. It will get better! I'm always here if you want to piss and moan (or cry and whine). XO,Non Bullying
Yes. Take the damn pickles. I'm glad we've been talking virtually every possible moment. I have a feeling it will ciontinue.,Non Bullying
 Whom do you most look like in your family?,Non Bullying
lulz just read bout the guy who asked u out with a prego gf  what a dick  he should be wit her,Non Bullying
  strict. and fun :),Non Bullying
 Concert you went to that you will never forget?,Non Bullying
  IDKKK!!!GOD?! Not understndin this ? srry its like 3am hah,Non Bullying
I still think I could design a better twitter client. If only I could program it. Damn you   Objective-C.,Non Bullying
come here  I'll kickle your ass.,Non Bullying
Thanks :-) I'm doing my best  fuck this wind! It's been fun watching people slip on the ice though!,Non Bullying
  Yes. Cause it would totally be awwesome as long as they didn't do experiments and stuff on me hahaha,Non Bullying
  nm...just chillin,Non Bullying
 man! I have an idea that you will LOVE & HATE!!,Non Bullying
 Do you get nervous before doctor appointments?,Non Bullying
 Do you know how to change a tire? Change oil? Change a spark plug?,Non Bullying
Well fine  they can call them seat protectors in Great Britain but in the US of A they best call 'em ass protectors.,Non Bullying
  yes.,Non Bullying
I hate it when I forget little details like that. You could always have him wear sunglasses. LOL,Non Bullying
oh man.. that sucks  sorry your feeling ill... I'm still coughing & sneezing  seem's like this cold will never go away.,Non Bullying
I love My Big Fat Greek Wedding! It's so hilarious. Tonight is a great night for romantic comedies.,Non Bullying
  book :],Non Bullying
u know I dont hate u personally Jae...LOL but u know macs always win in the commercials...,Non Bullying
i hate firefox. i'm a camino chic,Non Bullying
  hahaha love you to :Dr remeber i got a camo shovel ;DDDr your the best.,Non Bullying
 well I have elf's on my side so you know your going to get you ass kicked,Non Bullying
www.cantstopthis.net fag. It's this upcoming saturday.,Non Bullying
kick ass. Also  when do you get back? The world wants to know.,Non Bullying
  they laughed alil too much i guess,Non Bullying
I'd still be walking around with it stuck to my ass if that one kid hadn't laughed so hard when I stood up from the lunch table. ;-),Non Bullying
 Worst childhood memory?,Non Bullying
  mmm what?,Non Bullying
 hello:),Non Bullying
  Nope. Ohio :],Non Bullying
 Is quizzes are quizzical what are tests?,Non Bullying
sh. everytime a hot vampire movie comes out  my popularity goes up. & yes it sucks. the stamp on the death of literary ficiton.,Non Bullying
  k,Non Bullying
SAME HERE! FUCK FLORIDA!,Non Bullying
  Mmm... ROOT BEER! haha my fav drink eva! POW,Non Bullying
  good im glad he does  id be sad if my husband didnt like me  we would have to get a divorce.r i'd be sad if any of my friends didnt like me.,Non Bullying
  uhh im not in school anymore..must be april hahhaa,Non Bullying
  Nope,Non Bullying
has a stick up her ass.,Non Bullying
 what&;s the last thing you ate?,Non Bullying
 Have you ever cried from being so mad?,Non Bullying
LMAO - I did too! Just went into the cities and started slaughtering  just to see what would happen. Some damn funny stuff!,Non Bullying
I have no doubt that there is a problem there  it's just not the only problem.  I hate mutilple variables in a problem!,Non Bullying
  umm dont start school yet lol,Non Bullying
i can never catch you on blogtv at night. damn time difference!,Non Bullying
  Nahhhh they're kinda neat to watch.,Non Bullying
the matrix still Kicks ASS!!!!!,Non Bullying
 Is French kissing in France just called kissing?,Non Bullying
 BESTiE iiLOVE YUUUAAA!! akekeke:D,Non Bullying
"bingo. I agree. Both are true. The yes on 8 pastor who showed up today seems positive ""paradox"" is impossible. gay mrge challenge",Non Bullying
  i would say carrie underwood concert. she puts on an awesome show! :),Non Bullying
Aw. That sucks. We'll have plenty of good food  wine  and company for you after though.,Non Bullying
  pretty fast.,Non Bullying
 U r soooooooooooooooooooo pretty Alexis<3 y r u so nice???????,Non Bullying
are you okay???  that really sucks :(,Non Bullying
What's goodie Jamz! ROTFLMAO @ the fact that T-Pain's singing damn near gives u seizures!,Non Bullying
Dude. That. Sucks. :(,Non Bullying
would you be implying that im gay  or youre blind?,Non Bullying
  buncha kind things have been done for me. BUNCH!,Non Bullying
"Good ones! Mine is ""Merry Christmas  Kiss My Ass  Kiss Your Ass  Kiss His Ass  Happy Hannukah"" burst out laffing every time....",Non Bullying
  Hola! :],Non Bullying
Don't you hate that! I hum a lot  usually just notes; but this time of year I don't dare hear I Saw Mommy Kissing Santa Claus!  Noo!,Non Bullying
 For all the people who read my blog  I&;ve changed it/Para tod@s l@s que leu00e9is el blog  lo he cambiado (de aspecto  nombre y link  las historias son las mismas xD): http://perdidaentretuszapatos.blogspot.com/ (What do you think/u00bfQuu00e9 os parece?),Non Bullying
 have you ever experienced feeling the urge to fart inside the elevator? tell me what happen. =),Non Bullying
 Wait. Are you Cheyenne? I sent a request to you? Wait  why is your name Tabitha?? R u fake????,Non Bullying
  Yes ma'am,Non Bullying
  yes :],Non Bullying
 Do you like the smell of weed?,Non Bullying
 what is your opinion on those people who doesn&;t mind what others feel?,Non Bullying
 Why is sex so talked about?,Non Bullying
after that aired on cnn  my mom wrote me an email asking i knew about emo and if i was ok...WAT,Non Bullying
GO pkzwrt's hommy Barry's ex-scharrel de lijst regelaares! (damn!),Non Bullying
  haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah,Non Bullying
@angelzilla Honestly  it's not enough to make me stop listening at this point. It would take a lot more to piss me off that much.,Non Bullying
  nope tabitha jai locascio idk who she is but she is a fake. :/ i use to live in idaho but i moved to texas,Non Bullying
 you should ask her if shes still &quot;feelin it&quot; so you know for sure,Non Bullying
 Let&;s get married?,Non Bullying
  call me? haha jks but sero iim so bored...............r u a pedo?,Non Bullying
  bloody mary. for sureeee,Non Bullying
  chocolate :P,Non Bullying
hate what? ohiuogdfgjnksdfgnisbgudbgubgfdgiubdbggiuhdfguihdfguihpgpuihgiudfhgjkhdghpdsfughudphypushgupghuhuhpuighghoihfdiogio,Non Bullying
"Um  I so want to ask  but shudder to think about what the answer would be to where @melissa808 gets her ""fag cream"".",Non Bullying
  yes. for sure.,Non Bullying
ugh I hate the tangle struggle. It will be in a damn pony tail all day and I go to brush it and its like a damn jungle.,Non Bullying
 when was the last time you cried so hard?,Non Bullying
 what kind of hamburger do you like,Non Bullying
  Hell yeaaa how'd youu knoww?,Non Bullying
Joydaily  damn...no it doesn't...lol.,Non Bullying
  hahah yeah he is my husband :) and i willl!!!!!!!!!!!!! thankyou :D,Non Bullying
"- and occasionally ""grape fruits"" or my personal fave:  ""stupid ass huge""",Non Bullying
  no.,Non Bullying
  i think to my brother..for his birthday. :],Non Bullying
BELIEVE IT. lol. I still love you. It's just that I would hate myself for passing up an opportunity to laugh so hard @ a show.,Non Bullying
what's up my coffee  let's call with a blocked number so I don't answer bitch? LOL,Non Bullying
that sucks. Where are you trying to watch it?,Non Bullying
I'm working from home... but that's cuz I'm swamped and have a dental appt  not cuz I'm gay. :-),Non Bullying
i see you damn near passed out after that work out lol!!,Non Bullying
Agreed.  Is Dick Clark setting an example of what to do or not to do?  Very sad to see him now God bless him...#nyetwarty,Non Bullying
your gonna get so fat before school starts,Non Bullying
i hate you for making me google that.,Non Bullying
 No because then u will know who this is.,Non Bullying
 Do you eat cheeseburgers?,Non Bullying
 y0 d!(k !$ l!K3 @ c0RND0q,Non Bullying
  i dont do brands. i do the look. i like how it looks i buy it.,Non Bullying
quite possibly the most random and funniest twit i have seen......ever :P awwww poor guinea pig  too many carrots is it!?!,Non Bullying
 Dont you hate when they fucken yell at you for not texting back? lol i do!!!,Non Bullying
Geek. Only because nerd is to harsh.,Non Bullying
"Really? wow! Avril  she sucks. LOL! I bet that was the best NIN concert this year since it being the ""last"".",Non Bullying
"The ""That's 'Smart Bitch' To You"" one.",Non Bullying
wow home cum I don't get dates like u get? I'm not feeling sorry for you anymore! Have fun!,Non Bullying
 what&;s the best movie you have ever seen?,Non Bullying
He's a poser! Run! :),Non Bullying
  hmm i havent seen anything crazy lately. Its been more like uhhhh bed. sleep. sick. sleep more. haha,Non Bullying
 Have you ever been Ice Skating?,Non Bullying
 haha ;)so.. have u ever been to france?,Non Bullying
Oooh...that sucks. I wish I could help. :(,Non Bullying
you're so lucky! Then again its understandable with the weather over there. Still lucky. I hate school =(,Non Bullying
view my douchebag of the day video you made at youtube live! http://tinyurl.com/6y8kae comment and i'll freak out haha,Non Bullying
 What&;s your number then?,Non Bullying
  oh most definantly,Non Bullying
 I accidentally just deleted the thing you just wrote to me D: SEND IT AGIIIINNNN,Non Bullying
  someday,Non Bullying
this si true last time i had three w2's its a bitch man i feel your twitter pain,Non Bullying
  Oh! Hey (:,Non Bullying
  anger and greed.,Non Bullying
  quality for sure,Non Bullying
Looks like a good competitor :) Wouldn't touch it personally  hate Symbian and Nokia Software :) My N95 is a bitch lol,Non Bullying
  :) HAHAHA AWHHHHHHHHHHHHHHHHHH <3,Non Bullying
  welll forr righhtt noww no onee iss_):,Non Bullying
  U.S.A!!!;] Known as Mars!!<3,Non Bullying
 If your eyes reflected everything you have ever don  would you look people in the eyes?,Non Bullying
  cottage cheese. colby cheese. string cheese.,Non Bullying
thats my cousin valeria. she's a total whore. do her now.,Non Bullying
  i own a couple duffle bags but no suitcases.,Non Bullying
lol - we could do that now if only I could be bothered getting off my fat ass and coming to Perth.,Non Bullying
 What are you doing this weekend?,Non Bullying
resistance sucks  get cod5 or rock band 2 for 360. if you have to get a ps3 game  get mgs4.,Non Bullying
"""Baby boy you only funky as your last cut. You focus on the past  your ass'll be a has-what"" - Outkast ;)",Non Bullying
 still a student??,Non Bullying
  pirateesss .,Non Bullying
 How do you handle your emotions when you&;re sad? Do you direct more anger  tears  or endless thoughts [quiet!]? Explain.,Non Bullying
  grape. still is :),Non Bullying
girl these kids are lazy these days  you gotta stay on them.  my oldest is a neat freak  but those other two..... DAMN!,Non Bullying
 Small Business Owners need an Economic Stimulus Package or some other return of OUR tax money instead of Welfare for Fat Cats,Non Bullying
  wet it first. always.,Non Bullying
Oh ok! Well  I'm gonna be damn busy for the next 6 months  as I need to work day & night to expand my online thingy. Good luck!,Non Bullying
Lol  Nah it sucks  empty inside and boring. :O Like you *sticks tongue out* j/k,Non Bullying
oh man  I'm having a nerd heart attack,Non Bullying
 Your at a club &amp;&amp; a bitch gives you a dirty look &amp; starts laughing while pointing at you! You _______?(WHAT DO YOU DO) guys;; Do you start drama or are you the ones who shrug it off?,Non Bullying
  its okay i honestly still dont understand why you got so angry  but sometimes you get mad worse then girls do. just saying  not trying to sound mean. but you do.,Non Bullying
  i love being silly,Non Bullying
lol why does jennifer hate new years so much?,Non Bullying
Damn that sounds good.  I love hush puppies!,Non Bullying
  okay :),Non Bullying
nigga you sound like a creep ass pedophile,Non Bullying
  Frances :),Non Bullying
  makenzie.,Non Bullying
ain't that crazy? enough to piss you off!,Non Bullying
 If you didn&;t have enough money to get the bus home what would you do?,Non Bullying
 If a stripper gets breast implants can she write it off on her taxes as a business expense?,Non Bullying
AnnMT He was the best host the Tony's ever had  so maybe his mojo will work for the Oscars. Plus he's damn hot. I interviewed him once!,Non Bullying
He is still trying to figure out who to side with. And how not to piss off the Islamists world.,Non Bullying
  Free cookies at Subway! Start the week off right with a Free Cookie at Subway! Recieve 10 points redeemable for a free cookie with any purchase today.r r Of course it had to be the longest text ever. haha I had a subway card and get those dumb texts all the time hahaha,Non Bullying
THIS is why i hate the snow!!!!!!!!!!!!!!,Non Bullying
  :D hahahahahahahah,Non Bullying
kcs got a nice body  but shes insane. taryns got a nice rack  but shes a bitch.,Non Bullying
no YOU'RE amazing... and i'm feeling Fat and Sassy,Non Bullying
im out troll but dont worry the hate continues fuk face,Non Bullying
 When was the first time that you had beer?,Non Bullying
they think we only ride chevys and cadillacs...damn stereotypes,Non Bullying
Damn must get ready for work...*loves* I miss U,Non Bullying
I gotta say  I found it pretty damn funny too...,Non Bullying
That was an *if* I just hate brushing knots in my hair.Id rather have it polished occassionallyby the airport shoe shine man,Non Bullying
  If God created them then hellz yes!,Non Bullying
 Since some of you want me to spam them ill spam 10 qs ok if you dont want them ill unfollow you but hit me up quick!!! :)),Non Bullying
gogo dancing is fucking classy  yo,Non Bullying
awwwww  that sucks!! sorry!! and i'm pretty good i'ma trying to change stuff on mi profile but iz not workin so good!!,Non Bullying
  NOT AT ALL,Non Bullying
 Panties or Thong?,Non Bullying
well I hate texting it every 5 sex,Non Bullying
"""What are you doing Dave?""... ""Damn-it Dave  I need more power!!""",Non Bullying
 Would you rather be a famous musician or a famous actor?,Non Bullying
  Haha Im not sure  its just natural ;),Non Bullying
NO! I am a very fit mother  in both senses of the word! Gawd damn  you know nothing!,Non Bullying
 If drugs had no bad effect on your health...would you do them?,Non Bullying
 what&;s your fave song?,Non Bullying
  Dont delete your account!,Non Bullying
