name,japanese_name,generation,classfication,type1,type2,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,attack,defense,sp_attack,sp_defense,capture_rate,experience_growth,speed,height_m,weight_kg,hp,pokedex_number,is_legendary
Slowking,Yadokingヤドキング,2,Royal Pokémon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,5120,70,490,75,80,100,110,70,1000000,30,2.0,79.5,95,199,No
Misdreavus,Mumaムウマ,2,Screech Pokémon,ghost,,['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,6400,35,435,60,60,85,85,45,800000,85,0.7,1.0,60,200,No
Unown,Unknownアンノーン,2,Symbol Pokémon,psychic,,['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,10240,70,336,72,48,72,48,225,1000000,48,0.5,5.0,48,201,No
Wobbuffet,Sonansソーナンス,2,Patient Pokémon,psychic,,"['Shadow Tag', 'Telepathy']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120,70,405,33,58,33,58,45,1000000,33,1.3,28.5,190,202,No
Girafarig,Kirinrikiキリンリキ,2,Long Neck Pokémon,normal,psychic,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5120,70,455,80,65,90,65,60,1000000,85,1.5,41.5,70,203,No
Pineco,Kunugidamaクヌギダマ,2,Bagworm Pokémon,bug,,"['Sturdy', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5120,70,290,65,90,35,35,190,1000000,15,0.6,7.2,50,204,No
Forretress,Foretosフォレトス,2,Bagworm Pokémon,bug,steel,"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,5120,70,465,90,140,60,60,75,1000000,40,1.2,125.8,75,205,No
Dunsparce,Nokocchiノコッチ,2,Land Snake Pokémon,normal,,"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,415,70,70,65,65,190,1000000,45,1.5,14.0,100,206,No
Gligar,Gligerグライガー,2,Flyscorpion Pokémon,ground,flying,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,5120,70,430,75,105,35,65,60,1059860,85,1.1,64.8,65,207,No
Steelix,Haganeilハガネール,2,Iron Snake Pokémon,steel,ground,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,6400,70,610,125,230,55,95,25,1000000,30,9.2,400.0,75,208,No
Snubbull,Buluブルー,2,Fairy Pokémon,fairy,,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5120,70,300,80,50,40,40,190,800000,30,0.6,7.8,60,209,No
Granbull,Granbuluグランブル,2,Fairy Pokémon,fairy,,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5120,70,450,120,75,60,60,75,800000,45,1.4,48.7,90,210,No
Qwilfish,Harysenハリーセン,2,Balloon Pokémon,water,poison,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,5120,70,440,95,85,55,55,45,1000000,85,0.5,3.9,65,211,No
Scizor,Hassamハッサム,2,Pincer Pokémon,bug,steel,"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,6400,70,600,150,140,65,100,25,1000000,75,1.8,118.0,70,212,No
Shuckle,Tsubotsuboツボツボ,2,Mold Pokémon,bug,rock,"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,5120,70,505,10,230,10,230,190,1059860,5,0.6,20.5,20,213,No
Heracross,Heracrosヘラクロス,2,Singlehorn Pokémon,bug,fighting,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6400,70,600,185,115,40,105,45,1250000,75,1.5,54.0,80,214,No
Sneasel,Nyulaニューラ,2,Sharp Claw Pokémon,dark,ice,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,5120,35,430,95,55,35,75,60,1059860,115,0.9,28.0,55,215,No
Teddiursa,Himegumaヒメグマ,2,Little Bear Pokémon,normal,,"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,330,80,50,50,50,120,1000000,40,0.6,8.8,60,216,No
Ursaring,Ringumaリングマ,2,Hibernator Pokémon,normal,,"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,500,130,75,75,75,60,1000000,55,1.8,125.8,90,217,No
Slugma,Magmagマグマッグ,2,Lava Pokémon,fire,,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,250,40,40,70,40,190,1000000,20,0.7,35.0,40,218,No
Magcargo,Magcargotマグカルゴ,2,Lava Pokémon,fire,rock,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,5120,70,430,50,120,90,80,75,1000000,30,0.8,55.0,60,219,No
Swinub,Urimooウリムー,2,Pig Pokémon,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,5120,70,250,50,40,30,30,225,1250000,50,0.4,6.5,50,220,No
Piloswine,Inomooイノムー,2,Swine Pokémon,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,5120,70,450,100,80,60,60,75,1250000,50,1.1,55.8,100,221,No
Corsola,Sunnygoサニーゴ,2,Coral Pokémon,water,rock,"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,5120,70,410,55,95,65,95,60,800000,35,0.6,5.0,65,222,No
Remoraid,Teppouoテッポウオ,2,Jet Pokémon,water,,"['Hustle', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,300,65,35,65,35,190,1000000,65,0.6,12.0,35,223,No
Octillery,Okutankオクタン,2,Jet Pokémon,water,,"['Suction Cups', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,480,105,75,105,75,75,1000000,45,0.9,28.5,75,224,No
Delibird,Delibirdデリバード,2,Delivery Pokémon,ice,flying,"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,5120,70,330,55,45,65,45,45,800000,75,0.9,16.0,45,225,No
Mantine,Mantainマンタイン,2,Kite Pokémon,water,flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,6400,70,485,40,70,80,140,25,1250000,70,2.1,220.0,85,226,No
Skarmory,Airmdエアームド,2,Armor Bird Pokémon,steel,flying,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,6400,70,465,80,140,40,70,25,1250000,70,1.7,50.5,65,227,No
Houndour,Delvilデルビル,2,Dark Pokémon,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,5120,35,330,60,30,80,50,120,1250000,65,0.6,10.8,45,228,No
Houndoom,Hellgarヘルガー,2,Dark Pokémon,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,5120,35,600,90,90,140,90,45,1250000,115,1.4,35.0,75,229,No
Kingdra,Kingdraキングドラ,2,Dragon Pokémon,water,dragon,"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,5120,70,540,95,95,95,95,45,1000000,85,1.8,152.0,75,230,No
Phanpy,Gomazouゴマゾウ,2,Long Nose Pokémon,ground,,"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120,70,330,60,60,40,40,120,1000000,40,0.5,33.5,90,231,No
Donphan,Donfanドンファン,2,Armor Pokémon,ground,,"['Sturdy', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,5120,70,500,120,120,60,60,60,1000000,50,1.1,120.0,90,232,No
Porygon2,Porygon2ポリゴン２,2,Virtual Pokémon,normal,,"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,515,80,90,105,95,45,1000000,60,0.6,32.5,85,233,No
Stantler,Odoshishiオドシシ,2,Big Horn Pokémon,normal,,"['Intimidate', 'Frisk', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,465,95,62,85,65,45,1250000,85,1.4,71.2,73,234,No
Smeargle,Dobleドーブル,2,Painter Pokémon,normal,,"['Own Tempo', 'Technician', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,250,20,35,20,45,45,800000,75,1.2,58.0,55,235,No
Tyrogue,Balkieバルキー,2,Scuffle Pokémon,fighting,,"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,6400,70,210,35,35,35,35,75,1000000,35,0.7,21.0,35,236,No
Hitmontop,Kapoererカポエラー,2,Handstand Pokémon,fighting,,"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,6400,70,455,95,95,35,110,45,1000000,70,1.4,48.0,50,237,No
Smoochum,Muchulムチュール,2,Kiss Pokémon,ice,psychic,"['Oblivious', 'Forewarn', 'Hydration']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,6400,70,305,30,15,85,65,45,1000000,65,0.4,6.0,45,238,No
Elekid,Elekidエレキッド,2,Electric Pokémon,electric,,"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6400,70,360,63,37,65,55,45,1000000,95,0.6,23.5,45,239,No
Magby,Bubyブビィ,2,Live Coal Pokémon,fire,,"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,6400,70,365,75,37,70,55,45,1000000,83,0.7,21.4,45,240,No
Miltank,Miltankミルタンク,2,Milk Cow Pokémon,normal,,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5120,70,490,80,105,40,70,45,1250000,100,1.2,75.5,95,241,No
Blissey,Happinasハピナス,2,Happiness Pokémon,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10240,140,540,10,10,75,135,30,800000,55,1.5,46.8,255,242,No
Raikou,Raikouライコウ,2,Thunder Pokémon,electric,,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,20480,35,580,85,75,115,100,3,1250000,115,1.9,178.0,90,243,Yes
Entei,Enteiエンテイ,2,Volcano Pokémon,fire,,"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,20480,35,580,115,85,90,75,3,1250000,100,2.1,198.0,115,244,Yes
Suicune,Suicuneスイクン,2,Aurora Pokémon,water,,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,20480,35,580,75,115,90,115,3,1250000,85,2.0,187.0,100,245,Yes
Larvitar,Yogirasヨーギラス,2,Rock Skin Pokémon,rock,ground,"['Guts', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,10240,35,300,64,50,45,50,45,1250000,41,0.6,72.0,50,246,No
Pupitar,Sanagirasサナギラス,2,Hard Shell Pokémon,rock,ground,['Shed Skin'],1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,10240,35,410,84,70,65,70,45,1250000,51,1.2,152.0,70,247,No
Tyranitar,Bangirasバンギラス,2,Armor Pokémon,rock,dark,"['Sand Stream', 'Unnerve']",2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0,10240,35,700,164,150,95,120,45,1250000,71,2.0,202.0,100,248,No
Lugia,Lugiaルギア,2,Diving Pokémon,psychic,flying,"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,30720,0,680,90,130,90,154,3,1250000,110,5.2,216.0,106,249,Yes
Ho-Oh,Hououホウオウ,2,Rainbow Pokémon,fire,flying,"['Pressure', 'Regenerator']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,30720,0,680,130,90,110,154,3,1250000,90,3.8,199.0,106,250,Yes
Celebi,Celebiセレビィ,2,Time Travel Pokémon,psychic,grass,['Natural Cure'],4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,30720,100,600,100,100,100,100,45,1059860,100,0.6,5.0,100,251,Yes
Treecko,Kimoriキモリ,3,Wood Gecko Pokémon,grass,,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,5120,70,310,45,35,65,55,45,1059860,70,0.5,5.0,40,252,No
Grovyle,Juptileジュプトル,3,Wood Gecko Pokémon,grass,,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,5120,70,405,65,45,85,65,45,1059860,95,0.9,21.6,50,253,No
Sceptile,Jukainジュカイン,3,Forest Pokémon,grass,,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,5120,70,630,110,75,145,85,45,1059860,145,1.7,52.2,70,254,No
Torchic,Achamoアチャモ,3,Chick Pokémon,fire,,"['Blaze', 'Speed Boost']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,310,60,40,70,50,45,1059860,45,0.4,2.5,45,255,No
Combusken,Wakasyamoワカシャモ,3,Young Fowl Pokémon,fire,fighting,"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,5120,70,405,85,60,85,60,45,1059860,55,0.9,19.5,60,256,No
Blaziken,Bursyamoバシャーモ,3,Blaze Pokémon,fire,fighting,"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,5120,70,630,160,80,130,80,45,1059860,100,1.9,52.0,80,257,No
Mudkip,Mizugorouミズゴロウ,3,Mud Fish Pokémon,water,,"['Torrent', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,310,70,50,50,50,45,1059860,40,0.4,7.6,50,258,No
Marshtomp,Numacrawヌマクロー,3,Mud Fish Pokémon,water,ground,"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,5120,70,405,85,70,60,70,45,1059860,50,0.7,28.0,70,259,No
Swampert,Laglargeラグラージ,3,Mud Fish Pokémon,water,ground,"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,5120,70,635,150,110,95,110,45,1059860,70,1.5,81.9,100,260,No
Poochyena,Pochienaポチエナ,3,Bite Pokémon,dark,,"['Run Away', 'Quick Feet', 'Rattled']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3840,70,220,55,35,30,30,255,1000000,35,0.5,13.6,35,261,No
Mightyena,Graenaグラエナ,3,Bite Pokémon,dark,,"['Intimidate', 'Quick Feet', 'Moxie']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3840,70,420,90,70,60,60,127,1000000,70,1.0,37.0,70,262,No
Zigzagoon,Jiguzagumaジグザグマ,3,Tiny Racoon Pokémon,normal,,"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840,70,240,30,41,30,41,255,1000000,60,0.4,17.5,38,263,No
Linoone,Massugumaマッスグマ,3,Rush Pokémon,normal,,"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840,70,420,70,61,50,61,90,1000000,100,0.5,32.5,78,264,No
Wurmple,Kemussoケムッソ,3,Worm Pokémon,bug,,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,195,45,35,20,30,255,1000000,20,0.3,3.6,45,265,No
Silcoon,Karasalisカラサリス,3,Cocoon Pokémon,bug,,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,205,35,55,25,25,120,1000000,15,0.6,10.0,50,266,No
Beautifly,Agehuntアゲハント,3,Butterfly Pokémon,bug,flying,"['Swarm', 'Rivalry']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3840,70,395,70,50,100,50,45,1000000,65,1.0,28.4,60,267,No
Cascoon,Mayuldマユルド,3,Cocoon Pokémon,bug,,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,205,35,55,25,25,120,1000000,15,0.7,11.5,50,268,No
Dustox,Dokucaleドクケイル,3,Poison Moth Pokémon,bug,poison,"['Shield Dust', 'Compoundeyes']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,3840,70,385,50,70,50,90,45,1000000,65,1.2,31.6,60,269,No
Lotad,Hassbohハスボー,3,Water Weed Pokémon,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,3840,70,220,30,30,40,50,255,1059860,30,0.5,2.6,40,270,No
Lombre,Hasubreroハスブレロ,3,Jolly Pokémon,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,3840,70,340,50,50,60,70,120,1059860,50,1.2,32.5,60,271,No
Ludicolo,Runpappaルンパッパ,3,Carefree Pokémon,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25,3840,70,480,70,70,90,100,45,1059860,70,1.5,55.0,80,272,No
Seedot,Tanebohタネボー,3,Acorn Pokémon,grass,,"['Chlorophyll', 'Early Bird', 'Pickpocket']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,3840,70,220,40,50,30,30,255,1059860,30,0.5,4.0,40,273,No
Nuzleaf,Konohanaコノハナ,3,Wily Pokémon,grass,dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,3840,70,340,70,40,60,40,120,1059860,60,1.0,28.0,70,274,No
Shiftry,Dirtengダーテング,3,Wickid Pokémon,grass,dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5,3840,70,480,100,60,90,60,45,1059860,80,1.3,59.6,90,275,No
Taillow,Subameスバメ,3,TinySwallow Pokémon,normal,flying,"['Guts', 'Scrappy']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,270,55,30,30,30,200,1059860,85,0.3,2.3,40,276,No
Swellow,Ohsubameオオスバメ,3,Swallow Pokémon,normal,flying,"['Guts', 'Scrappy']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,455,85,60,75,50,45,1059860,125,0.7,19.8,60,277,No
Wingull,Camomeキャモメ,3,Seagull Pokémon,water,flying,"['Keen Eye', 'Hydration', 'Rain Dish']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,5120,70,270,30,30,55,30,190,1000000,85,0.6,9.5,40,278,No
Pelipper,Pelipperペリッパー,3,Water Bird Pokémon,water,flying,"['Keen Eye', 'Drizzle', 'Rain Dish']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,5120,70,440,50,100,95,70,45,1000000,65,1.2,28.0,60,279,No
Ralts,Raltsラルトス,3,Feeling Pokémon,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,5120,35,198,25,25,45,35,235,1250000,40,0.4,6.6,28,280,No
Kirlia,Kirliaキルリア,3,Emotion Pokémon,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,5120,35,278,35,35,65,55,120,1250000,50,0.8,20.2,38,281,No
Gardevoir,Sirnightサーナイト,3,Embrace Pokémon,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,5120,35,618,85,65,165,135,45,1250000,100,1.6,48.4,68,282,No
