tweet,class,polarity,hate,target,aggressiveness
"Alguien sabe algo de Greta Majareta? Con todo lo que viaja esa chica lo mismo ha pillado el coronavirus. 
Estoy preocupado 😟",Yes violence,negative,no hateful,no targeted,no aggressive
"Qué antisistema más rara es #Greta,alias VinaGreta: todos los poderes políticos, sociales y económicos la amparan y costean sus caprichos de niña estúpida.",Yes violence,negative,hateful,targeted,aggressive
@InesArrimadas Patetica.,Yes violence,negative,hateful,targeted,aggressive
¿Dónde cojones se meten los del timo climático cuando se les necesita? En Barna están quemando plásticos como para que le dé un ictus a Greta Majareta.,Yes violence,negative,no hateful,no targeted,no aggressive
"@tvnnoticias La impostora greta dice la portada. Hipócrita, apocaliptica, histérica.Ya se le cayó la máscara al inscribir su nombre como una marca comercial. Ahora va a vender una diversidad de artículos solo poniendo su rostro.Sus intenciones eran esas.Crear su propia marca y ganar dinero👎 https://t.co/hkuSffADi8",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras @ahorapodemos @iunida @PSOE @Esquerra_ERC @compromis @SofCastanon @Adrilastra @Irene_Montero_ @abrazopartio @AAlvarezAlvarez @gabrielrufian @Pablo_Iglesias_ @agarzon Denuncia tú, payasa!",Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Cada vez más loca, 4 años más y dejaréis de existir!",Yes violence,negative,no hateful,no targeted,no aggressive
"Ahora subirán los precios de los billetes aéreos. será más caro ir a casa a ver a sus familias a millones de personas.
Gracias por nada Greta.
Tonta útiles de lobbys y los poderosos. 
#GretaMarioneta",Yes violence,negative,hateful,no targeted,no aggressive
"@InesArrimadas La loca ,solo trabaja ...o da por culo de lunes a viernes..
Anda loca tomate las pastillas",Yes violence,negative,hateful,targeted,aggressive
@cayetanaAT Tómate la puta pastilla de una puta veeeeeeeeeezzzzzzzzz,Yes violence,negative,no hateful,no targeted,no aggressive
"@Spaniard_85 @ViiLoki @MarcosdeQuinto Esta claro....a mi es q lo de ""greta majareta"" me encanta....no hay mejor nombre para ella",Yes violence,neutral,no hateful,no targeted,no aggressive
Que chucha hace Greta ahí por la puta madre ya está metida en más actos que Aladino ...,Yes violence,negative,no hateful,no targeted,no aggressive
"@vemez7 Greta tenía razón, nos vamos a la puta",Yes violence,positive,hateful,targeted,aggressive
"@InesArrimadas Eres insoportable y patética en Andalucía lo Q están cerrando son centro de Salud, primando los centros concertados y arruinando la educación publica, fomentado el odio a las mujeres, emigrantes, y sí  los socialistas somos sectarios no soportamos la desigualdad y la exclusión",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras Anda borracha!!! A ti todo se te puede parecer a cualquier cosa, incluso tú que tienes cara de mierda te creerás bonita😂😂😂.
Te deseo lo peor pedazo de cerda😉",Yes violence,negative,hateful,targeted,aggressive
@InesArrimadas eres patética.,Yes violence,negative,hateful,targeted,no aggressive
"@Irene_Montero_ @crazycat__ana Tú eres gilipollas y no te das cuenta.... Tú,  que trepas a base de chupar vas a dar lecciones a los demás.... No eres más falsa porque no te entrenas, pero no te entrenas por vaga, no por falta de tiempo, porque hacer no haces nada. Payasa",Yes violence,negative,hateful,targeted,aggressive
"De mi podrán decir que estoy todo pendejo, que valgo verga o lo que les venga a la mente. Pero nunca que compartiré ideas solo porque estan socialmente aceptadas. NO SOY UN PUTO BORREGO. Y AL CHILE ME DA ASCO VER LA FOTO DE MALALA Y LA PENDEJA DE GRETA",Yes violence,negative,no hateful,no targeted,no aggressive
@GretaThunberg @Malala Q asco das puta niña de mirrda,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Igual te tienes que ir para alli, que aqui ya estas pasaditande vueltas, PUTA CHONI",Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras @RamonEspinar @IdiazAyuso @populares @ComunidadMadrid Lo de usted es para hacer una tesis,no puede ser más estúpida.",Yes violence,negative,hateful,targeted,aggressive
"Y tu la defines como  patética . Mírate al espejo  y lo que ves es pura idiotez patética , representativa de un país de la mitad de habitantes patéticos . por no llamarlos gilipollas que los define mejor . Carmen Lomana considera que Greta Thunberg 'es patética' https://t.co/VkOfpE5LXz",Yes violence,negative,no hateful,no targeted,no aggressive
Patetica rueda de prensa de Greta y los Garbo https://t.co/G4ak80t0zh vía @YouTube,Yes violence,negative,no hateful,no targeted,no aggressive
@CNNEE Greta es una estupida útil por los izquierdozos y verdosos....,Yes violence,negative,hateful,no targeted,aggressive
"@AnabelAlonso_of Hija de puta canalla...si.ponemos aqui todo lo que te deseamos y no dudes que te llegará, nos cierran esto...adi que no escupas hacia arriba retrasada!",Yes violence,negative,hateful,targeted,aggressive
@InesArrimadas hija de puta https://t.co/XsRvc9fURG,Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras Cada vez más patetica, oye informate bien...y sobre la mente",Yes violence,negative,hateful,targeted,aggressive
@susanadiaz @ParlamentoAnd Tienes muy poca vergüenza. Me da ASCO que seas andaluza y sevillana. La situación límite la ha provocado tu partido y tú personalmente durante casi 40 años de gobierno. EREs patética y embustera.,Yes violence,negative,hateful,targeted,aggressive
Que vaya Greta Majareta a decirle cosas a ver como acaba. https://t.co/snMIDruKwh,Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras Bueno.
Puedo llamarte patética.",Yes violence,neutral,no hateful,no targeted,no aggressive
@InesArrimadas Vesten a la puta merda choni asquerosa,Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras Qu pasa tu vida es tan aburrida y patética qu tienes qu fijarte en lo qu deja los demas de propina? Por qu seguramente tu eres incluso peor, ni dejaras 50 centimos con lo rata y RETRASADA QU ERES",Yes violence,negative,hateful,targeted,aggressive
"Greta me parece la típica prima GILIPOLLAS que mientras cenas en navidad te suelta una parrafada copiada de el discurso de cualquier orador barato sobre un mundo que solo puede ser utópico y si no le das la razón o das algun matiz se enfada, llora y te llama FASCISTA or whatever.",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras @elnacionalcat @ContadorAltsasu Aquí la perra ladradora, poco mordedora y mucho bebedora...
¡Solo hay una eh!",Yes violence,negative,hateful,targeted,aggressive
Ayer Vigo-Madrid en un diésel. Hoy Madrid-Almería en un diésel también. En tu puta cara Greta,Yes violence,negative,no hateful,no targeted,no aggressive
"Unas ganas de tirarle una cebollita a la ventana de Greta y que le agarre un ataque epiléptico, zurda estúpida.",Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Montapollos eres muy patética, no te da vergüenza hacer tanto el ridiculo? Pero claro con los diputados que has sacado... lo único que puedes hacer es intentar hacer ruido para recordarnos que por desgracia no habéis desaparecido,pero sigue así que nos darás una alegría 👋🏻",Yes violence,negative,no hateful,no targeted,no aggressive
@GretaThunberg deja de romper las bolas pendeja,Yes violence,negative,hateful,targeted,aggressive
@InesArrimadas Eres un zorra 🦊 con cara de  🐐 cabra !,Yes violence,neutral,hateful,targeted,aggressive
@greta_heim Yo también te extraño estupida :( y al vino. Y a vos y yo con el vino.. (????,Yes violence,negative,no hateful,no targeted,no aggressive
@AnabelAlonso_of estupida y orgullosa de serlo,Yes violence,negative,hateful,targeted,aggressive
"@PublimetroChile Ojalá una estúpida foto, y la mentira tras ella, sirva para desmitificar a la pendex odiosa d Greta Thunberg y su familia. Pero para la Izquierda todo vale, no me extraña más publicidad y dinero para ellos.",Yes violence,negative,hateful,targeted,aggressive
"@cayetanaAT Saca al ejército y márcate tú también un Abascal, payasa.",Yes violence,negative,hateful,targeted,aggressive
"@AnabelAlonso_of Querida Anabel, ¿ se puede tener menos clase que tú?
El papel de tonta del pijo en el cine lo bordas porque ya vienes entrenada de casa. Muy entrenada. 
No te veo criticando otros robos de más calado. ERES muy patética.",Yes violence,negative,hateful,targeted,aggressive
Aquí esperando que Greta se vaya a pié a apagar los incendios en Australia 🙄 🤣#Payasa,Yes violence,negative,hateful,targeted,aggressive
"@AnabelAlonso_of Vete a inocular tu enfermedad mental a tu Puta madre, por favor. Gracias por tu atención.",Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras @PeioHR Jooo qué mala eres! (no se puede ser más patética...),Yes violence,negative,hateful,targeted,aggressive
@GretaThunberg Sos una pelotuda,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras No habrá querido decir zorra?,Yes violence,neutral,hateful,targeted,aggressive
"@cayetanaAT @PP_CLM Se llama democracia payasa, igual que Aznar compró los vosotros de CiU y PNV en 1996.",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras Es curioso. Yo, hace un ratito, pensaba que tú, cada vez te pareces más a la loca de los gatos de los Simpson!😂 https://t.co/tyy9LNhFH8",Yes violence,neutral,hateful,targeted,aggressive
Anda a estudiar greta hija de puta. https://t.co/3V4h3U815x,Yes violence,negative,hateful,targeted,aggressive
"@monasterioR @julia_otero Pero si no has pisado el campo en tu vida, so payasa.",Yes violence,negative,hateful,targeted,no aggressive
@AnabelAlonso_of Puta retrasada,Yes violence,negative,hateful,targeted,aggressive
@MariaPopi6 @Lauralagartija @spanishrevorg Y DESPUÉS ME VIENEN A HABLAR DE LA PELOTUDA DE GRETA THUNBERG...,Yes violence,negative,no hateful,no targeted,no aggressive
"@alonso_dm @hermanntertsch Oh no, la Greta Majareta otra vez no!!",Yes violence,negative,no hateful,no targeted,no aggressive
"@InesArrimadas @XAVIERMONDRAGO2 @JuanMarin_Cs @GuillermoDiazCs @noelialosada Nadie te echará en falta. Desaparece de una puta vez, montapollos",Yes violence,negative,no hateful,no targeted,no aggressive
"Cosas que se aprenden con el caso #Arandina:
-Que si apagas la luz hay ""intimidación ambiental"", lo que equivale a agresión sexual.
-Que si ella se queda de brazos cruzados, también es agresión.

Cuidado chicos...",Yes violence,negative,no hateful,no targeted,no aggressive
@InesArrimadas Estas Loca!!,Yes violence,neutral,hateful,targeted,aggressive
@LaFallaras Si yo te imagino vómito cerda,Yes violence,negative,hateful,targeted,aggressive
Boyan Slat el verdadero Héroe Ecológico! No la Loca de Greta Thunberg!!  Este vídeo evidencia la manipulación política que se le ha dado al discu... https://t.co/IkYP4pDfMU vía @YouTube,Yes violence,negative,no hateful,no targeted,no aggressive
"Esto se veía venir.. El caso Arandina abierto la caja de Pandora.
La de chicos que pagarán a estas arpías. https://t.co/GI9J6UG8VD",Yes violence,negative,no hateful,no targeted,no aggressive
"@InesArrimadas Que patética eres,  Inés...  Llamando golpe de estado a un referéndum (eso sí,  ilegal) y llamando democracia a un golpe de estado. 
Que pena de verdad...  Ponerse al lado de los corruptos,  terroristas narcotraficantes y ricos y dejando de lado a los CIUDADANOS de a pie.",Yes violence,negative,hateful,no targeted,no aggressive
"@monasterioR @julia_otero Que asco de puta retardada!!! Quítate lo de la boca, lerda.",Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas @jguaido Esta vendiendo a su pueblo, 
so payasa!!!",Yes violence,negative,hateful,targeted,aggressive
"@CNNEE Bravucones? Son los mejores presidentes que quedan en esta parte del mundo! La loca es la Greta esa! Estos de CNN sinceramente, más comunistas y se matan!",Yes violence,negative,hateful,no targeted,aggressive
"@LaFallaras @PeioHR Se nota que estas muy necesitada de carne magra deshuesada,eres patetica.",Yes violence,negative,hateful,targeted,aggressive
Y despues hay que escuchar a la pelotuda de greta tanberga diciendo que le robaron la infancia https://t.co/qfqaDWopfR,Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras Alfinal serás una loca mas,Yes violence,negative,no hateful,no targeted,no aggressive
"La Greta le dice a su mami que se hagan una fotico en el sofá de su casa en Suecia y no se le ocurre usar uno de diseño exclusivo 
Italiano de más de 8000 mil pavos,de piel de zorra.Tocate los huevos https://t.co/jo9XmqqqAq",Yes violence,negative,hateful,no targeted,aggressive
@crpandemonium Otra como Greta la majareta.,Yes violence,neutral,no hateful,no targeted,no aggressive
"Por respetar el trabajo de Greta no haces de menos el de ningún otro activista, la tonta del culo esta diciendo que no hagáis caso a una niña que ha hecho oir a los principales líderes mundiales y potenciado enormemente la concienciación es la que hace cero bien a la causa ✖️ https://t.co/0w0n2IomFb",Yes violence,negative,no hateful,no targeted,no aggressive
"No puedo creer que la pendeja de Greta Thunberg nos rompa los huevos hasta en los oscares, alguien que la mande a terminar el secundario por favor",Yes violence,negative,no hateful,no targeted,no aggressive
@InesArrimadas La inmensa mayoría de los españoles quiere que te calles de una puta vez y dejes de decir boludeces fascistas.,Yes violence,negative,no hateful,no targeted,no aggressive
@NewsweekEspanol @GretaThunberg Que se vaya a la india haber si le hacen caso a la loca esta,Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras @sanchezcastejon Te imaginas que el PSOE devuelve el dinero de los ERE?,  eres PATÉTICA, que cargo te han prometido?",Yes violence,negative,no hateful,no targeted,no aggressive
"@cayetanaAT @JOSEOBDULIO No joda señora, háblese con la patética de @saludhernandezm y programen vacaciones para viejas desocupadas, de pronto encuentran al negro del wp...que es lo que les hace falta.",Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras Yo no sé si sabes o no usar el dichoso perfume pero, leído este tuit, me queda claro que de escribir no tienes ni puta idea.",Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras Lo dejamos en perra en celo,Yes violence,negative,hateful,targeted,aggressive
"Lo único bueno que le veo a Greta Thunberg es que muestra que no solamente hay gilipollas en España, si no que es una crisis mundial.",Yes violence,negative,no hateful,no targeted,no aggressive
Y me sigue cargando la pendeja Greta pffffff,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras Menuda payasa estas echa.. 😂😂,Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras Más bien zorra, que también anda a cuatro patas.",Yes violence,negative,hateful,targeted,aggressive
"A veces hace falta que te digan que sos una pelotuda. Pero bueno, siempre termino haciendo lo mismo 😂 https://t.co/T8nkt0W5Hb",Yes violence,negative,hateful,no targeted,no aggressive
@GretaThunberg cerda,Yes violence,neutral,hateful,targeted,aggressive
Greta Thunberg se queda pendeja al lado de esta pareja. https://t.co/TfI2I8okha,Yes violence,negative,no hateful,no targeted,no aggressive
@InesArrimadas Patetica nivel España! https://t.co/9qPw9NtIoP,Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras @populares @CiudadanosCs Una niña violada es aquella que pierde su infancia y por ende su vida por un hijo de puta. Esta ""niña"" que de niña tiene poco no se ha quedado tramada ni nada por el estilo, quería fiesta como la había tenido con anterioridad y con posterioridad. La ""niña"" viene de vueltas.",Yes violence,negative,hateful,targeted,aggressive
"@LucioCesarBr @GretaThunberg El sistema educativo de socialista riene poco. 
Y lo que representas ahi en una FALTA DE RESPETO tremenda a toda la comunidad cientifica, gilipollas.",Yes violence,negative,no hateful,no targeted,no aggressive
Quien diría que una weona que con cuea habla es más loca que la cara de la Greta,Yes violence,negative,hateful,no targeted,no aggressive
"@InesArrimadas @CiudadanosCs Ya estabas faltando patética, déjalo ya nadie os hace caso soys una basura traidora.",Yes violence,negative,hateful,targeted,aggressive
"@monasterioR @julia_otero Informate. No eres más tonta porque no entrenas. Para payasa, no tienes precio. Ignorante.",Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Estamos todos contigo Inés!!

Sabemos que tú puedes!!

Ves a llamar al telefonillo de la Moncloa hasta que te contesten!!

ESTÁS MUY LOCA INÉS!!

LO DE SACARLE JUGO A LA TARIFA PLANA INÉS!!

NO TE SALTES MÁS LA MEDICACIÓN INÉS!!

TÚ Y AYUSO, LAS GRECAS DE LA DEMOCRACIA INÉS!!",Yes violence,negative,no hateful,no targeted,no aggressive
@cayetanaAT Anda a hacer pupu estúpida.,Yes violence,negative,hateful,targeted,aggressive
@cayetanaAT Delcy la hija puta. No puedo con esta tipeja.,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Eres patética no sabes cómo hacerte notar,en serio déjalo ya y no sufras tú vas a seguir viviendo de puta madre no te van a quitar nada,no te importan los gobiernos de Madrid, Murcia Andalucía no? Esos con gobiernos ineptos y fascistas eh?anda y vete a cargar",Yes violence,negative,hateful,no targeted,no aggressive
"@LaFallaras @publico_es Cada día más loca, la fallaras en su estado puro de idiotez https://t.co/VA7d8UU5FR",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras Que pena chica, de verdad eres una loca",Yes violence,negative,no hateful,no targeted,no aggressive
@AnabelAlonso_of Subnormal. Idiota. Estúpida.,Yes violence,negative,hateful,targeted,aggressive
que mujer idiota,Yes violence,negative,no hateful,no targeted,no aggressive
"Un juez del TC confesó a A.Guerra que la Ley de Género se aprobó por presión mediática a pesar de no ser constitucional. Si jueces recios se achantan,imaginaos un juez mindundi: Sin pruebas y declaración contradictoria de la chica,38 años.
Matarla,15 años.
https://t.co/gjPOs7IH7I",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras Tu estás loca, además debes ser muyyy retorcida... anda que tú padre debe sentir vergüenza oirte",Yes violence,negative,hateful,targeted,aggressive
"@Hamiguytto Greta estaba destinada a ser una sex simbol en Suecia, según cuentan sus apenados padres. Pero conforme iba creciendo no sólo resultaba más mal hecha que la cama de una loca sino que además su cara ya no se lleva ni en los mangos de los paraguas. Fue cuando decidieron el plan B..",Yes violence,negative,no hateful,no targeted,no aggressive
"Yo: dale zorra vení
Greta: mañana nos juntamos gil

YO NECESITO AMOR, CARIÑO Y TERNURA HOY DESCONSIDERADA DEL ORTO HOY NECESITO 💔",Yes violence,negative,hateful,targeted,aggressive
"@jcdelolmowwf @FuturoMiguel @GretaThunberg Y te has dejado el de ""puta"".....mi no entender a este mundo",Yes violence,negative,no hateful,no targeted,no aggressive
@VPITV Que idiota apoya a la neonazi de la Greta?,Yes violence,negative,hateful,no targeted,no aggressive
"El mundo está jodido desde que los medios sólo le dan difusión a cualquier imbécil  que promueva el odio como @JulianRoman la pendeja Greta, @petrogustavo @EpaColombia1 o @JuanManSantos",Yes violence,negative,no hateful,no targeted,no aggressive
@Javii91218 @Renxta15 cállate puta vos también tendrías q dormir,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras Supongo que siempre serás así de hija de puta... Cualquiera se acerca a ti...,Yes violence,negative,hateful,targeted,aggressive
@elEconomistaes Preguntadle a Greta Majareta.,Yes violence,neutral,no hateful,no targeted,no aggressive
"@iBarbarellah eres una perra, no le llegas ni a los zapatos a Greta.",Yes violence,negative,hateful,targeted,aggressive
@RealExpedito @melnicksergio @biobio @GretaThunberg es puro cuento la acomodaron en 1 clase a la loca,Yes violence,negative,hateful,no targeted,no aggressive
@hobapup callate puta,Yes violence,negative,hateful,targeted,aggressive
"@La_Beggs @Alonso_GD Es tan estúpida tu comentario,  las normas internas no diferencia masculino o femenino en estos casos,  un masculino tampoco podría hacerlo y también. Seria sancionado si lo hace,  no  es porque es o se cree bonito.. Jajajaka  que idiotez no,  signo de feminismo chito",Yes violence,negative,no hateful,no targeted,no aggressive
@ladynooir @maskedadrinette CÁLLATE PUTA,Yes violence,negative,hateful,targeted,aggressive
"@abgsch @FrankRamsesGC @FlessNw @Juan_Sifontes @Caracas_FC @DvoTachira Callate puta, goleada fue el 1-4 y el 0L3, maldito sin moral.",Yes violence,negative,no hateful,no targeted,no aggressive
Pendeja forra y esta. 😒,Yes violence,negative,hateful,targeted,aggressive
@AnabelAlonso_of Estúpida que te crees con el derecho de burlarte de las creencias de los demás... luego pide respeto,Yes violence,negative,no hateful,no targeted,no aggressive
Almmmmm como te mama hablar de los demás pinche morra estupida,Yes violence,negative,hateful,targeted,aggressive
"@enrikebustar @Xandri98989740 @LaNoesNo Lo que es escibir no tanto,la sacaron a tortazos de la escuela y dirctamente a fregar platos como buena chica de vox",Yes violence,neutral,no hateful,no targeted,no aggressive
@sandavid26 @GretaThunberg Niñita estupida,Yes violence,negative,hateful,targeted,aggressive
@IvoPompolo Callate puta y lee mi CV,Yes violence,negative,hateful,targeted,aggressive
"Alguien la vio a la hija de mil puta (como vas a ser autista man, no lo seas y listo) de Greta thurnberg (como concha sea) decir algo de Australia? O ya le quitaron la fama y todos felices?",Yes violence,negative,no hateful,no targeted,no aggressive
"@Rumay_Chian El feminismo, ese el problema.",Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras Eres una patética.,Yes violence,negative,hateful,targeted,no aggressive
"@openarms_fund @sextaNoticias @EFEnoticias @EP_Social @AgenciaAtlas @324cat @rac1 @Planeta_Futuro @elperiodico @CatalunyaRadio Como se entere Greta la majareta que usáis diésel, estáis jodidos.",Yes violence,negative,no hateful,no targeted,no aggressive
"Normal, gilipollas. Hasta que la verborrea de Greta no genere energía tendremos que producirla de algún modo - Japón tiene que abrir 22 plantas de carbón tras prescindir de la energía nuclear https://t.co/CH2e33sBMb https://t.co/UV93kg194q",Yes violence,neutral,no hateful,no targeted,no aggressive
@ChloeNamu Callate puta que te dejo en visto,Yes violence,negative,hateful,targeted,aggressive
"@Virabhadra_1 @Candy_Chasirasi Pues no Teniendo en cuenta la época en que estamos, ese árbol está muy verde, al final Greta majareta, va a tener razón con lo del cambio climático
De hecho Susana ha sufrido ya su ""cambio clixmatico"" particular, y comienza a florecer de nievo en ella la ilusión
No somos nadie...",Yes violence,negative,no hateful,no targeted,no aggressive
@BonelliValenn @AbrilArcos Cállate puta,Yes violence,negative,hateful,targeted,aggressive
"Mis tres deseos para el 2020:
- Que el wifi en mi casa llegue hasta el último rincón. 
- Que se destape el BarçaGate. 
- Que dejéis de joder la vida a Greta La Majareta.",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras No sabes ni leer, payasa.",Yes violence,negative,hateful,targeted,aggressive
@melonerea @solvelozo callate puta JAJAJAJAJA,Yes violence,negative,hateful,targeted,aggressive
@gagaloga @RedIndignada @GretaThunberg Miriam pendeja,Yes violence,negative,hateful,targeted,aggressive
JAJAJA AAYY GRETA...QUE TE CREES QUE SOMOS GILIPOLLAS! PONTE A ESTUDIAR! https://t.co/DZzIeATkiL,Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras Solo describen lo que eres. Donde esta el problema loca?,Yes violence,negative,hateful,targeted,no aggressive
@FerBetancourt9 Cállate puta,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras @populares @CiudadanosCs Te va a meter un puro por zorra !!,Yes violence,neutral,no hateful,no targeted,no aggressive
En España viven los suficientes gilipollas como para que Greta se encuentre como en casa.,Yes violence,negative,no hateful,no targeted,no aggressive
@VPITV Que idiota apoya a la neonazi de la Greta?,Yes violence,negative,hateful,no targeted,no aggressive
@centuriondevox Una puta psicópata de mierda .,Yes violence,negative,hateful,targeted,aggressive
"@caathytorres @DalasReview por fa, un nuevo video para esta payasa",Yes violence,neutral,hateful,targeted,aggressive
"@LaFallaras Anda borracha!!! A ti todo se te puede parecer a cualquier cosa, incluso tú que tienes cara de mierda te creerás bonita😂😂😂.
Te deseo lo peor pedazo de cerda😉",Yes violence,negative,hateful,targeted,aggressive
"@bonilcaricatura Muerte a todos los pobres, que alguien reviva a LFC, alguien debe poner mano dura o perdemos el planeta, que la puta de Greta mo hace lo suficiente y no dirige correctamente su campaña.
-Bonil.",Yes violence,negative,no hateful,no targeted,no aggressive
"""Ya hasta las compañías de transporte ferroviario están hartas del enorme fraude que es Thunberg"" - cita el artículo que registra la última pataleta de la mocosa histérica, borrega de la izquierda... https://t.co/8brF1DKca8",Yes violence,negative,hateful,targeted,aggressive
"@carlos_subileta @AdrienPines @DalasReview @eldiariodedross WTF, primero la denuncia la puso la madre loca de miare, la foto del torso, es una foto que publicó dalas, es público, lo del torso está mal redactado que dalas no le mando la foto, la chica lo tenía, eso lo vas a ver en el vídeo que cae subir dalas.",Yes violence,negative,no hateful,no targeted,no aggressive
@AnabelAlonso_of @javiernegre10 Pero que hija de puta eres,Yes violence,negative,hateful,targeted,aggressive
@el_pais Y ponen a la loca esquizofrenia de Greta Thunberg como símbolo de los que tienen 22 años 😂😂😂😂,Yes violence,neutral,no hateful,no targeted,no aggressive
@boIustar callate puta lavate la boca antes de hablar de wosplik,Yes violence,negative,hateful,targeted,aggressive
"La que va a montar Greta Majareta...

El polo norte magnético de la Tierra se mueve hacia Rusia y los científicos están desconcertados https://t.co/ZxAFCZe4xn vía @cnnee",Yes violence,neutral,no hateful,no targeted,no aggressive
"@LaFallaras Dos años y medio por violar a una mujer que estaba incapacitada te parece bien, pero 38 años por violar a una golfa calienta pollas te parece proporcionado porque... ¡zon niñooooz!",Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras Esta loca la pobre.,Yes violence,negative,hateful,targeted,aggressive
"@AnabelAlonso_of Payasa, borra el twit",Yes violence,negative,hateful,targeted,aggressive
SOY LA UNICA PELOTUDA QUE LE DA MIEDO VOMITAR? 🤔😭,Yes violence,negative,no hateful,no targeted,no aggressive
"A ver, en serio es para montar esto?? Ha descubierto el átomo la Greta?? Es una niña!! Lista, imbécil, asperger,superdotada, estúpida, o lo que fuese, DA IGUAL. Una niña dirigiendo agendas y montando circos a su paso,hablando como si fuese EL MESÍAS. Id a la mierda, por favor. https://t.co/1mf6wCDQ1A",Yes violence,negative,no hateful,no targeted,no aggressive
@Paolajustinilo Cállate puta tú estás igual,Yes violence,negative,hateful,targeted,aggressive
Cá puta de greta,Yes violence,negative,hateful,targeted,aggressive
"La explicación de un marino profesional: ""Así consume Greta"" 
Más tonta que Abundio, que vendió el coche para poder comprar gasolina 

https://t.co/Pg24P5LJn1",Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras @paulasusaetas @emesotomayor Hay que estar subnormal  para leer a una loca alcoholica,Yes violence,negative,hateful,targeted,aggressive
@roberto__259 cállate puta,Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras Qu pasa tu vida es tan aburrida y patética qu tienes qu fijarte en lo qu deja los demas de propina? Por qu seguramente tu eres incluso peor, ni dejaras 50 centimos con lo rata y RETRASADA QU ERES",Yes violence,negative,hateful,targeted,aggressive
@wandolitaa feminista de carton,Yes violence,neutral,no hateful,no targeted,no aggressive
@LaFallaras No se puede ser más payasa,Yes violence,negative,hateful,targeted,aggressive
@GretaThunberg @estefi_cam Pinche pendeja.,Yes violence,negative,hateful,targeted,aggressive
@nunu__514 cállate puta,Yes violence,negative,hateful,targeted,aggressive
@strongthirlwall callate puta,Yes violence,negative,hateful,targeted,aggressive
@Robespierredea2 @carlesventilla @PorRobledo @pnique Pues opina que estamos deseando saber lo que piensa de Greta Majareta,Yes violence,neutral,no hateful,no targeted,no aggressive
"MUJER | Un caso de cara dura machuna de tantos es el futbol ... !es que las mujeres no juegan tan bien al futbol que los hombres! Dicen LOS CERDOS ...

!claro que si guapis! Mientras a las señoras se les mandaba a fregar a los señores se les mandaba a pegar patadas al balon 🤬🔫",Yes violence,negative,hateful,no targeted,no aggressive
"@LaFallaras @populares @CiudadanosCs Hola Sra. patética .. IGUALDAD ¿ sabe lo que significa esta palabra?? 

https://t.co/lFhdV4M2NZ",Yes violence,negative,hateful,targeted,aggressive
@GretaThunberg deja de romper las bolas pendeja,Yes violence,negative,hateful,targeted,aggressive
"SIEMPRE GENIAL BOLSONARO..!!!
JA..JA..!!!
CLARO QUE ES UNA MOCOSA Y CON UNA CARA DE ODIO QUE NO SE AGUANTA..!!! https://t.co/fIBBKPWqJq",Yes violence,negative,hateful,targeted,aggressive
"La hija de puta de Greta me cambió la temperatura y en vez de 16 grados con fan al máximo me lo puso en calor a 26 grados sin mover aire.

Esto es personal.",Yes violence,negative,no hateful,no targeted,no aggressive
"@AnabelAlonso_of Déjate de estupideces y trabaja para ser mejor en lo tuyo, que ERES PATÉTICA!",Yes violence,negative,hateful,targeted,aggressive
"Alguien digale a la stranger loca, que nadie va a cancelar a @DalasReview, no somos igual de ridículas que ustedes que lo cancelaron por hablar de Juan de Dios y ahora lo van alabar solo por que le hara video a zorrito. Mejor digan que les parecieron los memes que mostro de su + https://t.co/Rqx6nw3m8Y",Yes violence,negative,hateful,no targeted,aggressive
